indicator,flag
S&P Global Equity Indices (annual % change),0
"School enrollment, preprimary (% gross)",0
"School enrollment, preprimary, female (% gross)",0
"School enrollment, preprimary, male (% gross)",0
"School enrollment, primary (% gross)",0
"School enrollment, primary (% net)",0
"School enrollment, primary (gross), gender parity index (GPI)",0
"School enrollment, primary and secondary (gross), gender parity index (GPI)",0
"School enrollment, primary, female (% gross)",0
"School enrollment, primary, female (% net)",0
"School enrollment, primary, male (% gross)",0
"School enrollment, primary, male (% net)",0
"School enrollment, primary, private (% of total primary)",0
"School enrollment, secondary (% gross)",0
"School enrollment, secondary (% net)",0
"School enrollment, secondary (gross), gender parity index (GPI)",0
"School enrollment, secondary, female (% gross)",0
"School enrollment, secondary, female (% net)",0
"School enrollment, secondary, male (% gross)",0
"School enrollment, secondary, male (% net)",0
"School enrollment, secondary, private (% of total secondary)",0
"School enrollment, tertiary (% gross)",0
"School enrollment, tertiary (gross), gender parity index (GPI)",0
"School enrollment, tertiary, female (% gross)",0
"School enrollment, tertiary, male (% gross)",0
Scientific and technical journal articles,0
"Secondary education, duration (years)",0
"Secondary education, general pupils",0
"Secondary education, general pupils (% female)",0
"Secondary education, pupils",0
"Secondary education, pupils (% female)",0
"Secondary education, teachers",0
"Secondary education, teachers (% female)",0
"Secondary education, teachers, female",0
"Secondary education, vocational pupils",0
"Secondary education, vocational pupils (% female)",0
"Secondary income receipts (BoP, current US$)",0
"Secondary income, other sectors, payments (BoP, current US$)",0
Secure Internet servers,0
Secure Internet servers (per 1 million people),0
"Self-employed, female (% of female employment) (modeled ILO estimate)",0
"Self-employed, male (% of male employment) (modeled ILO estimate)",0
"Self-employed, total (% of total employment) (modeled ILO estimate)",0
"Service exports (BoP, current US$)",0
"Service imports (BoP, current US$)",0
"Services, value added (% of GDP)",0
"Services, value added (annual % growth)",0
"Services, value added (constant 2010 US$)",0
"Services, value added (constant LCU)",0
"Services, value added (current LCU)",0
"Services, value added (current US$)",0
"Services, value added per worker (constant 2010 US$)",0
Sex ratio at birth (male births per female births),0
SF6 gas emissions (thousand metric tons of CO2 equivalent),0
"Share of tariff lines with international peaks, all products (%)",0
"Share of tariff lines with international peaks, manufactured products (%)",0
"Share of tariff lines with international peaks, primary products (%)",0
"Share of tariff lines with specific rates, all products (%)",0
"Share of tariff lines with specific rates, manufactured products (%)",0
"Share of tariff lines with specific rates, primary products (%)",0
"Share of youth not in education, employment or training, female (% of female youth population)",0
"Share of youth not in education, employment or training, male (% of male youth population)",0
"Share of youth not in education, employment or training, total (% of youth population)",0
"Short-term debt (% of exports of goods, services and primary income)",0
Short-term debt (% of total external debt),0
Short-term debt (% of total reserves),0
"Smoking prevalence, females (% of adults)",0
"Smoking prevalence, males (% of adults)",0
"Smoking prevalence, total (ages 15+)",0
Social contributions (% of revenue),0
Social contributions (current LCU),0
Source data assessment of statistical capacity (scale 0 - 100),0
"Specialist surgical workforce (per 100,000 population)",0
Start-up procedures to register a business (number),0
"Start-up procedures to register a business, female (number)",0
"Start-up procedures to register a business, male (number)",0
Statistical Capacity score (Overall average),0
"Stocks traded, total value (% of GDP)",0
"Stocks traded, total value (current US$)",0
"Stocks traded, turnover ratio of domestic shares (%)",0
Strength of legal rights index (0=weak to 12=strong),0
Subsidies and other transfers (% of expense),0
Subsidies and other transfers (current LCU),0
"Suicide mortality rate (per 100,000 population)",0
"Suicide mortality rate, female (per 100,000 female population)",0
"Suicide mortality rate, male (per 100,000 male population)",0
Surface area (sq. km),0
"Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",0
"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",0
"Survival to age 65, female (% of cohort)",0
"Survival to age 65, male (% of cohort)",0
"Tariff rate, applied, simple mean, all products (%)",0
"Tariff rate, applied, simple mean, manufactured products (%)",0
"Tariff rate, applied, simple mean, primary products (%)",0
"Tariff rate, applied, weighted mean, all products (%)",0
"Tariff rate, applied, weighted mean, manufactured products (%)",0
"Tariff rate, applied, weighted mean, primary products (%)",0
"Tariff rate, most favored nation, simple mean, all products (%)",0
"Tariff rate, most favored nation, simple mean, manufactured products (%)",0
"Tariff rate, most favored nation, simple mean, primary products (%)",0
"Tariff rate, most favored nation, weighted mean, all products (%)",0
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",0
"Tariff rate, most favored nation, weighted mean, primary products (%)",0
Tax payments (number),0
Tax revenue (% of GDP),0
Tax revenue (current LCU),0
Taxes less subsidies on products (constant LCU),0
Taxes less subsidies on products (current LCU),0
Taxes less subsidies on products (current US$),0
Taxes on exports (% of tax revenue),0
Taxes on exports (current LCU),0
Taxes on goods and services (% of revenue),0
Taxes on goods and services (% value added of industry and services),0
Taxes on goods and services (current LCU),0
"Taxes on income, profits and capital gains (% of revenue)",0
"Taxes on income, profits and capital gains (% of total taxes)",0
"Taxes on income, profits and capital gains (current LCU)",0
Taxes on international trade (% of revenue),0
Taxes on international trade (current LCU),0
"Technical cooperation grants (BoP, current US$)",0
Technicians in R&D (per million people),0
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),0
Terms of trade adjustment (constant LCU),0
Terrestrial and marine protected areas (% of total territorial area),0
Terrestrial protected areas (% of total land area),0
"Tertiary education, academic staff (% female)",0
Textiles and clothing (% of value added in manufacturing),0
Time required to build a warehouse (days),0
Time required to enforce a contract (days),0
Time required to get electricity (days),0
Time required to obtain an operating license (days),0
Time required to register property (days),0
Time required to start a business (days),0
"Time required to start a business, female (days)",0
"Time required to start a business, male (days)",0
Time spent dealing with the requirements of government regulations (% of senior management time),0
"Time to export, border compliance (hours)",0
"Time to export, documentary compliance (hours)",0
"Time to import, border compliance (hours)",0
"Time to import, documentary compliance (hours)",0
Time to obtain an electrical connection (days),0
Time to prepare and pay taxes (hours),0
Time to resolve insolvency (years),0
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",0
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",0
"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)",0
"Total debt service (% of exports of goods, services and primary income)",0
Total debt service (% of GNI),0
Total fisheries production (metric tons),0
Total greenhouse gas emissions (% change from 1990),0
Total greenhouse gas emissions (kt of CO2 equivalent),0
Total natural resources rents (% of GDP),0
Total reserves (% of total external debt),0
"Total reserves (includes gold, current US$)",0
Total reserves in months of imports,0
Total reserves minus gold (current US$),0
Total tax and contribution rate (% of profit),0
Trade (% of GDP),0
Trade in services (% of GDP),0
"Trademark applications, direct nonresident",0
"Trademark applications, direct resident",0
"Trademark applications, nonresident, by count",0
"Trademark applications, resident, by count",0
"Trademark applications, total",0
Trained teachers in lower secondary education (% of total teachers),0
"Trained teachers in lower secondary education, female (% of female teachers)",0
"Trained teachers in lower secondary education, male (% of male teachers)",0
Trained teachers in preprimary education (% of total teachers),0
"Trained teachers in preprimary education, female (% of female teachers)",0
"Trained teachers in preprimary education, male (% of male teachers)",0
Trained teachers in primary education (% of total teachers),0
"Trained teachers in primary education, female (% of female teachers)",0
"Trained teachers in primary education, male (% of male teachers)",0
Trained teachers in secondary education (% of total teachers),0
"Trained teachers in secondary education, female (% of female teachers)",0
"Trained teachers in secondary education, male (% of male teachers)",0
Trained teachers in upper secondary education (% of total teachers),0
"Trained teachers in upper secondary education, female (% of female teachers)",0
"Trained teachers in upper secondary education, male (% of male teachers)",0
Transport services (% of commercial service exports),0
Transport services (% of commercial service imports),0
"Transport services (% of service exports, BoP)",0
"Transport services (% of service imports, BoP)",0
Travel services (% of commercial service exports),0
Travel services (% of commercial service imports),0
"Travel services (% of service exports, BoP)",0
"Travel services (% of service imports, BoP)",0
"Tuberculosis case detection rate (%, all forms)",0
Tuberculosis treatment success rate (% of new cases),0
UHC service coverage index,0
Unemployment with advanced education (% of total labor force with advanced education),0
"Unemployment with advanced education, female (% of female labor force with advanced education)",0
"Unemployment with advanced education, male (% of male labor force with advanced education)",0
Unemployment with basic education (% of total labor force with basic education),0
"Unemployment with basic education, female (% of female labor force with basic education)",0
"Unemployment with basic education, male (% of male labor force with basic education)",0
Unemployment with intermediate education (% of total labor force with intermediate education),0
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",0
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",0
"Unemployment, female (% of female labor force) (modeled ILO estimate)",0
"Unemployment, female (% of female labor force) (national estimate)",0
"Unemployment, male (% of male labor force) (modeled ILO estimate)",0
"Unemployment, male (% of male labor force) (national estimate)",0
"Unemployment, total (% of total labor force) (modeled ILO estimate)",0
"Unemployment, total (% of total labor force) (national estimate)",0
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",0
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",0
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",0
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",0
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",0
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",0
Unmet need for contraception (% of married women ages 15-49),0
Urban land area (sq. km),0
Urban land area where elevation is below 5 meters (% of total land area),0
Urban land area where elevation is below 5 meters (sq. km),0
Urban population,0
Urban population (% of total population),0
Urban population growth (annual %),0
Urban population living in areas where elevation is below 5 meters (% of total population),0
Urban poverty gap at national poverty lines (%),0
Urban poverty headcount ratio at national poverty lines (% of urban population),0
"Use of IMF credit (DOD, current US$)",0
Use of insecticide-treated bed nets (% of under-5 population),0
Value lost due to electrical outages (% of sales for affected firms),0
Vitamin A supplementation coverage rate (% of children ages 6-59 months),0
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",0
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",0
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",0
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",0
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",0
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",0
Wanted fertility rate (births per woman),0
"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",0
Wholesale price index (2010 = 100),0
"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care  (% of women age 15-49)",0
"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",0
Women who believe a husband is justified in beating his wife (any of five reasons) (%),0
Women who believe a husband is justified in beating his wife when she argues with him (%),0
Women who believe a husband is justified in beating his wife when she burns the food (%),0
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),0
Women who believe a husband is justified in beating his wife when she neglects the children (%),0
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),0
Women who were first married by age 15 (% of women ages 20-24),0
Women who were first married by age 18 (% of women ages 20-24),0
Women's share of population ages 15+ living with HIV (%),0
